Available,GIS layer,What it shows,Why it matters,Questions it helps answer,Likely source,Unnamed: 6
False,Employment by workplace location,Where jobs are physically located,Core layer for identifying job clusters and employment centers,Where are jobs concentrated? Are jobs close to where people live?,"LEHD/LODES, state labor data, local economic development data",Data - Longitudinal Employer-Household Dynamics
False,Employment by industry (NAICS),Type of jobs in each location,"Not all jobs are interchangeable; retail, office, industrial, and healthcare jobs function differently",What kinds of jobs are in each area? Are certain industries concentrated in specific parts of the city?,"LEHD, County Business Patterns, InfoGroup/Data Axle, local business license data",
False,Employment by wage level,"Locations of low-, medium-, and high-wage jobs","Essential because mismatch is often about wages, not just jobs",Are low-wage workers living near low-wage jobs? Where are high-wage jobs concentrated?,"LEHD/LODES, state workforce data",
False,Major employers / employment centers,Large job anchors and clusters,Helps identify commuting destinations and corridor needs,What are the main job centers? Are they accessible to nearby residents?,"Local employer datasets, chambers, economic development agencies",
False,Job density,Jobs per acre or square mile,Helps compare concentration of employment across places,Which areas are truly job-rich? Are job-rich places supported by housing nearby?,Derived from employment + parcel/land area data,
False,Residential parcels / housing land use,Where housing exists,Basic spatial layer for comparing housing with job patterns,Where is housing located relative to jobs?,"Parcel data, assessor, local land use data",
False,Housing units by type,"Single-family, multifamily, townhomes, mixed-use, etc.",Housing type influences affordability and worker access,Are there housing types near job centers that match workforce needs?,"Assessor, parcel data, local planning data, ACS",
False,Housing density,Units per acre or square mile,Useful for measuring jobs-housing balance,Are areas with many jobs also providing enough housing?,Building and development summary,
False,Housing costs,"Rent, home values, or sale prices",Mismatch is often about whether workers can afford nearby housing,Can workers afford to live near their jobs?,"ACS, Zillow-style datasets, local housing studies",
False,Affordable housing locations,Subsidized and income-restricted housing,Shows whether lower-income households have access to jobs,Is affordable housing located near employment centers?,"HUD, local housing authority, state housing finance agency",
False,Naturally occurring affordable housing (if available),Lower-cost market housing,Important where subsidized housing is limited,Where is lower-cost housing without subsidy located?,"Local housing studies, assessor/rent data",
False,New housing permits / recent housing development,Where new housing is being added,Shows whether growth is helping or worsening mismatch,Is new housing being built near jobs? What type of housing is being added?,"Building permits, planning department",
False,Resident workers by home location,Where workers live,Needed to compare jobs by workplace vs workers by residence,"Are residents living near their jobs, or commuting elsewhere?",LEHD/LODES,
False,Household income,Income distribution of residents,Helps determine whether local wages align with local housing costs,Are local households able to afford housing near available jobs?,ACS,
False,Occupation / labor force characteristics,Skills and occupations of residents,Shows whether workforce supply aligns with local job types,Do nearby residents match the jobs available in the area?,"ACS, workforce datasets",
False,Workers by income bracket / wage bracket,Distribution of earning levels,Helps segment mismatch by income group,Which income groups face the greatest housing or commute burden?,"ACS, LEHD",
False,Households without vehicles,Households with limited auto access,Important for transit-based job access analysis,Are job centers reachable for residents without cars?,ACS,
False,Population density,Where people are concentrated,Helpful context for both service and transportation analysis,Are jobs located near population concentrations?,"Census, ACS",
False,Road network,Street connectivity and travel routes,Required for drive-time accessibility analysis,How easily can workers reach job centers by car?,"City/County GIS, OpenStreetMap, MAPA",
False,Transit routes and stops,Current public transit service,Critical for understanding non-auto access to jobs,Which job centers are accessible by transit today?,"Transit agency GTFS, Metro",
False,Transit frequency / service levels,How often transit runs,"Accessibility depends on service quality, not just route presence","Are jobs realistically reachable by transit, or only technically reachable?",Metro,
False,Sidewalk network,Pedestrian access,Helps assess first/last-mile access to jobs and transit,Can people safely walk to transit or nearby jobs?,OpenStreetMap,
False,Bike network / trails,Bike access routes,Useful for short commute analysis,Are nearby jobs reachable by bike from housing areas?,"OpenStreetMap, MAPA?",
False,Origin-destination commute flows,Where workers live and where they work,Reveals commuting patterns and dependence on inbound/outbound workers,Are jobs serving local residents or commuters from elsewhere?,LEHD OnTheMap,Longitudinal Employer-Household Dynamics
False,Zoning,What can be built where,Explains structural causes of mismatch,Do zoning rules allow housing near jobs or mixed-use development?,City/County GIS,
False,Future land use,Planned development pattern,Helps test whether scenarios reduce or worsen mismatch,Will future land use improve jobs-housing balance?,"Comprehensive plan, local planning GIS",
False,Neighborhoods / planning districts / corridors,Analysis geography,Useful for communication and policy targeting,Which districts have the strongest mismatch?,City/County GIS,
False,Housing + transportation cost burden,Combined location affordability,Often more meaningful than housing cost alone,Is an area truly affordable once commuting costs are included?,"CNT H+T data, ACS + travel data",
False,Median wage of jobs by geography,Typical wages in an area,Strong summary metric for job quality,What is the earning potential of jobs in each part of the city?,Derived from wage/employment data,
False,Jobs-housing ratio,Balance between employment and housing supply,Classic indicator for mismatch,"Which areas have many jobs but too little housing, or vice versa?",Derived indicator,
False,Jobs-housing ratio by wage tier,Balance by wage class,More useful than a single overall ratio,"Are there enough housing options for low-, medium-, and high-wage workers near corresponding jobs?",Derived indicator,
False,Travel time surfaces / accessibility sheds,"Areas reachable in 15, 30, 45 minutes by mode",One of the strongest ways to show mismatch,How many jobs can residents reach within a reasonable commute?,Derived from network analysis,
False,Wage + housing affordability overlay,Whether local wages can support nearby housing costs,One of the most useful mismatch measures,Can someone earning local wages afford housing within a reasonable distance of work?,Derived from wage + housing cost data,
